ord,genus
blomma,en
äpple,ett
apelsin,en
aprikos,en
plommon,ett
vindruva,en
stjärnfrukt,en
persika,en
granatäpple,ett
mango,en
kiwifrukt,en
vildäpple,ett
avokado,en
tomat,en
papaya,en
ananas,en
blodapelsin,en
limefrukt,en
chilifrukt,en
honungsmelon,en
jordgubbe,en
smultron,ett
hjortron,ett
lingon,ett
nypon,ett
krusbär,ett
kråkbär,ett
vinbär,ett
fläderbär,ett
tranbär,ett
björnbär,ett
rönnbar,ett
åkerbär,ett
snöbär,ett
körsbär,ett
nyponros,en
solros,en
vildros,en
maskros,en
törnros,en
äppelros,en
flikros,en
finnros,en
daggros,en
hartsros,en
viol,en
flocklilja,en
blåsippa,en
vitsippa,en
backsippa,en
tistel,en
lilja,en
tulpan,en
blåklint,en
ängsklocka,en
pangolin,en
näbbdjur,ett
igelkott,en
koala,en
panda,en
säl,en
surikat,en
isbjörn,en
känguru,en
flygekorre,en
tiger,en
lejon,ett
katt,en
lodjur,ett
gepard,en
pingvin,en
örn,en
korp,en
hök,en
uggla,en
svan,en
trana,en
näktergal,en
albatross,en
vigg,en
planet,en
komet,en
asteroid,en
stjärna,en
supernova,en
meteor,en
stjärnfall,ett
norrsken,ett
nymåne,en
fullmåne,en
snöstorm,en
vindpust,en
regnby,en
havsbris,en
solsken,ett
regnbåge,en
pudersnö,en
solregn,ett
höstskur,en
midvinternatt,en
sommar,en
vinter,en
höst,en
vår,en
gryning,en
soluppgång,en
solnedgång,en
morgon,en
kväll,en
skymning,en
bärnsten,en
guldklimp,en
diamant,en
kopparmalm,en
kristall,en
järnmalm,en
silversmide,ett
ädelsten,en
rubin,en
smaragd,en
urberg,ett
fjällbäck,en
bergskedja,en
ängsmark,en
skogsmark,en
